abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
ELECTRON RES ANNOUNC,electronic research announcements of the american mathematical society,2,electronic research announcements,electronic research announcements of the american mathematical society,,http://www.ams.org/publications/journals/journalsframework/eraedit,2,http://www.ams.org/publications/journals/journalsframework/eraedit,http://www.ams.org/publications/journals/journalsframework/era,
REPRESENT THEOR,representation theory,2,representation theory,algebras and representation theory,,http://www.ams.org/publications/journals/journalsframework/ertedit,2,http://www.ams.org/publications/journals/journalsframework/ertedit,http://www.springer.com/mathematics/algebra/journal/10468/PSE?detailsPage=editorialBoard,
J ALGEBRAIC GEOM,journal of algebraic geometry,3,journal of algebraic geometry,,,http://www.ams.org/publications/journals/journalsframework/jagedit,3,http://www.ams.org/publications/journals/journalsframework/jagedit,,
J AM MATH SOC,journal of the american mathematical society,2,journal of the american mathematical society,journal of the  american mathematical society,,http://www.ams.org/publications/journals/journalsframework/jamsedit,3,http://www.ams.org/publications/journals/journalsframework/jamsedit,,
MATH COMPUT,mathematics of computation,3,mathematics of computation,,,http://www.ams.org/publications/journals/journalsframework/mcomedit,3,http://www.ams.org/publications/journals/journalsframework/mcomedit,,
P AM MATH SOC,proceedings of the american mathematical society,2,proceedings of the american mathematical society,proc. amer. math. soc.,,http://www.ams.org/publications/journals/journalsframework/procedit,2,http://www.ams.org/publications/journals/journalsframework/procedit,http://www.ams.org/proc/,
Q APPL MATH,quarterly of applied mathematics,2,quarterly of applied mathematics,the quarterly of applied mathematics,,http://www.ams.org/publications/journals/journalsframework/qamedit,1,http://www.ams.org/publications/journals/journalsframework/qam,http://www.ams.org/publications/journals/journalsframework/qamedit,
ST PETERSB MATH J+,st. petersburg mathematical journal,3,st. petersburg mathematical journal,,,http://www.ams.org/publications/journals/journalsframework/spmjedit,3,http://www.ams.org/publications/journals/journalsframework/spmjedit,,
T AM MATH SOC,transactions of the american mathematical society,3,transactions of the american mathematical society,,,http://www.ams.org/publications/journals/journalsframework/tranedit,2,http://www.ams.org/publications/journals/journalsframework/tranedit,http://www.ams.org/publications/journals/journalsframework/jamsedit,
ANNU REV STAT APPL,annual review of statistics and its application,3,annual review of statistics and its application,,,http://www.annualreviews.org/action/doSearch?startPage=0&target=database&pubCode=directory&dbSearchType=staffDir&RefSeriesKey=statistics&categoryCode=edcom,2,http://www.annualreviews.org/action/doSearch?RefSeriesKey=statistics&categoryCode=edcom&dbSearchType=staffDir&pubCode=directory&startPage=0&target=database,http://www.annualreviews.org/journal/statistics,
AN STI U OVID CO-MAT,analele stiintifice ale universitatii ovidius constanta seria matematica,2,analele stiintifice ale universitatii ovidius constanta-seria matematica,"analele stiintifice ale universitatii ovidius constanta, seria matematica",,http://www.anstuocmath.ro/editorial-board,1,http://journalysis.org/journal/1224-1784/analele-stiintifice-ale-universitatii-ovidius-constanta-seria-matematica,http://www.anstuocmath.ro/editorial-board,http://www.medsciediting.com/sci/journal.asp?id=5231c808d4
B SYMB LOG,bulletin of symbolic logic,1,bulletin of symbolic logic,the bulletin of symbolic logic,,http://www.aslonline.org/journals-bulletin-editors.html,2,http://www.aslonline.org/journals-bulletin-editors.html,,
J SYMBOLIC LOGIC,journal of symbolic logic,3,journal of symbolic logic,,,http://www.aslonline.org/journals-journal-editors.html,2,http://www.aslonline.org/journals-journal-editors.html,http://www.jstor.org/journal/jsymboliclogic,
J MED IMAG HEALTH IN,journal of medical imaging and health informatics,3,journal of medical imaging and health informatics,,,http://www.aspbs.com/jmihi/editorial_jmihi.htm,3,http://www.aspbs.com/jmihi/editorial_jmihi.htm,,
B AUST MATH SOC,bulletin of the australian mathematical society,3,bulletin of the australian mathematical society,,,http://www.austms.org.au/journal+of+the+australian+mathematical+society+-+editors,1,http://www.austms.org.au/journal+of+the+australian+mathematical+society+-+editors,http://journal.austms.org.au/ojs/index.php/Bulletin/about/editorialTeam,http://www.austms.org.au/journal+of+the+australian+mathematical+society+editors
INT J UNCERTAIN QUAN,international journal for uncertainty quantification,3,international journal for uncertainty quantification,,,http://www.begellhouse.com/ii/52034eb04b657aea.pdf?nocache=1433941284,2,http://www.begellhouse.com/ii/52034eb04b657aea.pdf?nocache=1433941284,,
INT J MULTISCALE COM,international journal for multiscale computational engineering,3,international journal for multiscale computational engineering,,,http://www.begellhouse.com/ii/61fd1b191cf7e96f.pdf?nocache=1448982585,3,http://www.begellhouse.com/ii/61fd1b191cf7e96f.pdf?nocache=1448982585,,
BIOMETRICS,biometrics,3,biometrics,,,http://www.biometrics.tibs.org/editorialboard.html,2,http://www.biometrics.tibs.org/editorialboard.html,http://www.biometrics.tibs.org/,
COMM APP MATH COM SC,communications in applied mathematics and computational science,3,communications in applied mathematics and computational science,,,http://www.camcos.org/editorial.html,2,http://www.camcos.org/editorial.html,http://msp.org/camcos/2006/1-1/p02.xhtml,
ARS COMBINATORIA,ars combinatoria,2,ars combinatoria,"ars combinatoria, a canadian journal of combinatorics",,http://www.combinatorialmath.ca/arscombinatoria/,2,http://www.combinatorialmath.ca/arscombinatoria/,http://www.combinatorialmath.ca/ArsCombinatoria/,
ELECTRON J COMB,the electronic journal of combinatorics,3,the electronic journal of combinatorics,,,http://www.combinatorics.org/ojs/index.php/eljc/about/editorialTeam,2,http://www.combinatorics.org/ojs/index.php/eljc/about/editorialTeam,,
COMPOS MATH,compositio mathematica,3,compositio mathematica,,,http://www.compositio.nl/editors.html,2,http://www.compositio.nl/editors.html,http://journals.cambridge.org/action/displayJournal?jid=COM,
INT J NONLIN SCI NUM,international journal of nonlinear sciences and numerical simulation,2,international journal of nonlinear sciences and numerical simulation,the international journal of nonlinear sciences and numerical simulation,,http://www.cs.uky.edu/~jzhang/NSNS/editor.html,1,http://www.inderscience.com/jhome.php?jcode=ijans,http://www.ijnsns.com/policy.html,http://www.cs.uky.edu/~jzhang/NSNS/editor.html
ADV CALC VAR,advances in calculus of variations,2,advances in calculus of variations,calculus of variations and partial differential equations,,http://www.degruyter.com/view/j/acv,2,http://www.degruyter.com/view/j/acv,http://www.springer.com/mathematics/analysis/journal/526,
ADV GEOM,advances in geometry,3,advances in geometry,,,http://www.degruyter.com/view/j/advg,3,http://www.degruyter.com/view/j/advg,,
ADV NONLINEAR ANAL,advances in nonlinear analysis,3,advances in nonlinear analysis,,,http://www.degruyter.com/view/j/anona,2,http://www.degruyter.com/view/j/anona,,
J REINE ANGEW MATH,journal für die reine und angewandte mathematik,3,journal fÃ¼r die reine und angewandte mathematik,,,http://www.degruyter.com/view/j/crll,3,http://www.degruyter.com/view/j/crll,,
FORUM MATH,forum mathematicum,3,forum mathematicum,,,http://www.degruyter.com/view/j/form,1,http://journals.cambridge.org/action/displayMoreInfo?jid=FMS&sessionId=EB43D4751F812DB3B9A92EDB093E60EC.journals&type=eb,http://www.degruyter.com/view/j/form,
GEORGIAN MATH J,georgian mathematical journal,2,georgian mathematical journal,georgian math journal,,http://www.degruyter.com/view/j/gmj,2,http://www.degruyter.com/view/j/gmj,,
INT J BIOSTAT,international journal of biostatistics,1,international journal of biostatistic,the international journal of biostatistics,international journal of biomathematics and biostatistics,http://www.degruyter.com/view/j/ijb,2,http://www.degruyter.com/view/j/ijb,http://www.serialsjournals.com/editorial-board.php?journals_id=298,
APPL ANAL,journal of applied analysis,3,journal of applied analysis,,,http://www.degruyter.com/view/j/jaa,3,http://www.degruyter.com/view/j/jaa,,
J GROUP THEORY,journal of group theory,3,journal of group theory,,,http://www.degruyter.com/view/j/jgth,2,http://www.degruyter.com/view/j/jgth,,
J INVERSE ILL-POSE P,journal of inverse and ill-posed problems,2,journal of inverse and ill-posed problems,journal of inverse and ill-posed problems impact factor,,http://www.degruyter.com/view/j/jiip,1,http://www.degruyter.com/view/j/jiip,http://www.degruyter.com/dg/viewarticle.fullcontentlink:pdfeventlink/$002fj$002fjiip.2015.23.issue-5$002fjiip-2015-frontmatter5$002fjiip-2015-frontmatter5.pdf?t%3Aac=j%24002fjiip.2015.23.issue-5%24002fjiip-2015-frontmatter5%24002fjiip-2015-frontmatter5.xml,
J CRYPTOL,journal of mathematical cryptology,2,journal of mathematical cryptology,journal of cryptology,,http://www.degruyter.com/view/j/jmc,2,http://www.degruyter.com/view/j/jmc,http://www.iacr.org/jofc/,
J NUMER MATH,journal of numerical mathematics,3,journal of numerical mathematics,,,http://www.degruyter.com/view/j/jnma,2,http://www.degruyter.com/view/j/jnma,http://www.journals.elsevier.com/applied-numerical-mathematics/editorial-board/,
MATH SLOVACA,mathematica slovaca,3,mathematica slovaca,,,http://www.degruyter.com/view/j/ms,2,http://link.springer.com/journal/12175,http://www.degruyter.com/view/j/ms,
RUSS J NUMER ANAL M,russian journal of numerical analysis and mathematical modelling,3,russian journal of numerical analysis and mathematical modelling,,,http://www.degruyter.com/view/j/rnam,1,http://www.degruyter.com/view/j/rnam,http://www.degruyter.com/loi/rnam,
STAT APPL GENET MOL,statistical applications in genetics and molecular biology,2,statistical applications in genetics and molecular biology,access content print flyer statistical applications in genetics and molecular biology,,http://www.degruyter.com/view/j/sagmb,2,http://www.degruyter.com/view/j/sagmb,http://www.ime.usp.br/~abe/lista/msg00261.html,
DISCUSS MATH GRAPH T,discussiones mathematicae graph theory,1,discussiones mathematicae graph theory,,,http://www.discuss.wmie.uz.zgora.pl/gt/edit.htm,1,http://www.discuss.wmie.uz.zgora.pl/gt/edit.htm,,
DISCRETE MATH THEOR,discrete mathematics & theoretical computer science,3,discrete mathematics & theoretical computer science,,,http://www.dmtcs.org/dmtcs-ojs/index.php/dmtcs/about/editorialTeam,2,http://www.dmtcs.org/dmtcs-ojs/index.php/dmtcs,http://www.dmtcs.org/dmtcs-ojs/index.php/dmtcs/about/editorialTeam,
APPL ANAL DISCR MATH,applicable analysis and discrete mathematics,3,applicable analysis and discrete mathematics,,,http://www.doiserbia.nb.rs/journal.aspx?AspxAutoDetectCookieSupport=1&issn=1452-8630,2,http://www.doiserbia.nb.rs/journal.aspx?AspxAutoDetectCookieSupport=1&issn=1452-8630,http://www.openaccessarticles.com/journal/1452-8630_Appl_Anal_Discrete_Math+Applicable_Analysis_and_Discrete_Mathematics,
DYNAM SYST APPL,dynamic systems and applications,2,dynamic systems and applications,dynamic systems an applications,,http://www.dynamicpublishers.org/journals/index.php/DSA,3,http://www.dynamicpublishers.org/journals/index.php/DSA,,
ECON COMPUT ECON CYB,economic computation and economic cybernetics studies and research,2,economic computation and economic cybernetics studies and research,journal of economic computation and economic cybernetics studies and research,,http://www.ecocyb.ase.ro/editorial_board.htm,3,http://www.ecocyb.ase.ro/editorial_board.htm,,
ECONOMETRICA,econometrica,2,econometrica,the econometric society,,http://www.econometricsociety.org/publications/econometrica/editorial-board,2,http://www.econometricsociety.org/publications/econometrica/editorial-board,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0262/homepage/EditorialBoard.html,
ACTA MATH SCI,acta mathematica scientia,1,"acta mathematica sinica, english series",acta mathematica,acta mathematica scientia,http://www.elsevier.com/journals/acta-mathematica-scientia/0252-9602/editorial-board,1,http://www.springer.com/mathematics/journal/11511/PS2?detailsPage=editorialBoard,http://www.elsevier.com/journals/acta-mathematica-scientia/0252-9602/editorial-board,http://www.springer.com/mathematics/journal/10114?detailsPage=editorialBoard
INT J NUMER METHOD H,international journal of numerical methods for heat and fluid flow,2,international journal of numerical methods for heat and fluid flow,international journal of numerical methods for heat & fluid flow,,http://www.emeraldgrouppublishing.com/products/journals/editorial_team.htm?id=hff,2,http://www.emeraldgrouppublishing.com/products/journals/editorial_team.htm?id=hff,http://www.journals.elsevier.com/international-journal-of-heat-and-fluid-flow/editorial-board/,
B MALAYS MATH SCI SO,bulletin of the malaysian mathematical sciences society,3,bulletin of the malaysian mathematical sciences society,,,http://www.emis.de/journals/BMMSS/editorial.htm,3,http://www.emis.de/journals/BMMSS/editorial.htm,,
EXP MATH,experimental mathematics,3,experimental mathematics,,,http://www.emis.de/journals/EM/expmath/board.html,3,http://www.emis.de/journals/EM/expmath/board.html,,
PUBL I MATH-BEOGRAD,publications de l'institut mathématique (beograd),2,publications de l'institut mathÃ©matique (beograd),publications de l'institut mathÃ©matique,,http://www.emis.de/journals/PIMB/editors.html,3,http://www.emis.de/journals/PIMB/editors.html,,
J NONLINEAR SCI APPL,the journal of nonlinear science and applications,3,the journal of nonlinear science and applications,,,http://www.emis.de/journals/TJNSA/editors.html,2,http://www.emis.de/journals/TJNSA/editors.html,http://www.emis.de/journals/TJNSA/,
GROUP GEOM DYNAM,"groups, geometry, and dynamics",3,"groups, geometry, and dynamics",,,http://www.ems-ph.org/journals/editorial.php?jrn=GGD,1,http://www.ems-ph.org/journals/editorial.php?jrn=GGD,,
INTERFACE FREE BOUND,interfaces and free boundaries,3,interfaces and free boundaries,,,http://www.ems-ph.org/journals/editorial.php?jrn=ifb,3,http://www.ems-ph.org/journals/editorial.php?jrn=ifb,,
J EUR MATH SOC,journal of the european mathematical society,2,journal of the european mathematical society,joournals of the european mathematical society,,http://www.ems-ph.org/journals/editorial.php?jrn=jems,2,http://www.ems-ph.org/journals/journal.php?jrn=jems,http://www.ems-ph.org/journals/journals.php,
J NONCOMMUT GEOM,journal of noncommutative geometry,3,journal of noncommutative geometry,,,http://www.ems-ph.org/journals/editorial.php?jrn=JNCG,2,http://www.ems-ph.org/journals/editorial.php?jrn=JNCG,http://www.ems-ph.org/journals/journal.php?jrn=JNCG,
PORT MATH,portugaliae mathematica,3,portugaliae mathematica,,,http://www.ems-ph.org/journals/editorial.php?jrn=pm,1,http://en.wikipedia.org/wiki/Portugaliae_Mathematica,http://www.ems-ph.org/journals/editorial.php?jrn=pm,http://www.ems-ph.org/journals/journal.php?jrn=pm
PUBL RES I MATH SCI,publications of the research institute for mathematical sciences,3,publications of the research institute for mathematical sciences,,,http://www.ems-ph.org/journals/editorial.php?jrn=PRIMS,2,http://www.ems-ph.org/journals/editorial.php?jrn=PRIMS,http://www.kurims.kyoto-u.ac.jp/~prims/,
REV MAT IBEROAM,revista matematica iberoamericana,2,revista matematica iberoamericana,revista matemÃ¡tica iberoamericana,,http://www.ems-ph.org/journals/editorial.php?jrn=RMI,1,http://rmi.rsme.es/index.php?Itemid=53&catid=48&lang=en&option=com_contact&view=category,http://www.ems-ph.org/journals/editorial.php?jrn=RMI,http://rmi.rsme.es/
Z ANAL ANWEND,zeitschrift für analysis und ihre anwendungen,2,zeitschrift fÃr analysis und ihre anwendungen,zeitschrift fÃ¼r analysis und ihre anwendungen,,http://www.ems-ph.org/journals/editorial.php?jrn=zaa,2,http://www.ems-ph.org/journals/show_abstract.php?iss=1&issn=0232-2064&rank=7&vol=34,,
FIXED POINT THEORY A,fixed point theory and applications,3,fixed point theory and applications,,,http://www.fixedpointtheoryandapplications.com/about/edboard,2,http://www.fixedpointtheoryandapplications.com/about/edboard,http://www.springer.com/mathematics/analysis/journal/13663?detailsPage=editorialBoard,
ADV APPL MATH MECH,advances in applied mathematics and mechanics,2,the advances in applied mathematics and mechanics,advances in applied mathematics and mechanics,,http://www.global-sci.org/aamm/Editorial.html,1,http://www.global-sci.org/aamm/,http://www.global-sci.org/aamm/Editorial.html,
J COMPUT MATH,journal of computational mathematics,1,journal of computational mathematics,journal of computational mathematics (jcm),,http://www.global-sci.org/jcm/,2,http://www.global-sci.org/jcm/,,
J CONVEX ANAL,journal of convex analysis,2,journal of convex analysis impact factor,journal of convex analysis,,http://www.heldermann.de/JCA/jcaebo.htm,2,http://www.scijournal.org/impact-factor-of-J-CONVEX-ANAL.shtml,http://www.heldermann.de/JCA/jcaebo.htm,
J LIE THEORY,journal of lie theory,3,journal of lie theory,,,http://www.heldermann.de/JLT/jltebo.htm,3,http://www.heldermann.de/JLT/jltebo.htm,,
COMPUT INTEL NEUROSC,computational intelligence and neuroscience,3,computational intelligence and neuroscience,,,http://www.hindawi.com/journals/cin/editors/,2,http://www.hindawi.com/journals/cin/editors/,http://www.hindawi.com/journals/cin/contents/,
COMPUT MATH METHOD M,computational and mathematical methods in medicine,3,computational and mathematical methods in medicine,,,http://www.hindawi.com/journals/cmmm/editors/,2,http://www.hindawi.com/journals/cmmm/editors/,http://www.hindawi.com/journals/cmmm/contents/,
DISCRETE DYN NAT SOC,discrete dynamics in nature and society,3,discrete dynamics in nature and society,,,http://www.hindawi.com/journals/ddns/editors/,3,http://www.hindawi.com/journals/ddns/editors/,,
J FUNCT SPACE APPL,journal of function spaces,3,journal of function spaces,,,http://www.hindawi.com/journals/jfs/editors/,3,http://www.hindawi.com/journals/jfs/editors/,,
J FUNCT SPACE,journal of function spaces,3,journal of function spaces,,,http://www.hindawi.com/journals/jfs/editors/,1,http://www.hindawi.com/journals/jfs/,http://www.hindawi.com/journals/jfs/editors/,
MATH PROBL ENG,mathematical problems in engineering,3,mathematical problems in engineering,,,http://www.hindawi.com/journals/mpe/editors/,3,http://www.hindawi.com/journals/mpe/editors/,,
HACET J MATH STAT,hacettepe journal of mathematics and statistics,3,hacettepe journal of mathematics and statistics,,,http://www.hjms.hacettepe.edu.tr/Editorial-Board,2,http://www.hjms.hacettepe.edu.tr/Editorial-Board,http://www.hjms.hacettepe.edu.tr/,
IMAGE ANAL STEREOL,image analysis & stereology,2,image analysis & stereology,image analysis & stereology impact factor,,http://www.ias-iss.org/?page_id=2,2,http://www.ias-iss.org/?page_id=2,http://www.scijournal.org/impact-factor-of-IMAGE-ANAL-STEREOL.shtml,
COLLOQ MATH-WARSAW,colloquium mathematicum,2,colloquium mathematicum impact factor,impact factor of colloquium mathematicum,,http://www.impan.pl/pl/wydawnictwa/czasopisma-i-serie-wydawnicze/colloquium-mathematicum,1,http://www.bioxbio.com/if/html/COLLOQ-MATH-WARSAW.html,http://www.impan.pl/pl/wydawnictwa/czasopisma-i-serie-wydawnicze/colloquium-mathematicum,
DISS MATH,dissertationes mathematicae,3,dissertationes mathematicae,,,http://www.impan.pl/pl/wydawnictwa/czasopisma-i-serie-wydawnicze/dissertationes-mathematicae,2,http://www.impan.pl/pl/wydawnictwa/czasopisma-i-serie-wydawnicze/dissertationes-mathematicae,http://www.impan.pl/pl/wydawnictwa/czasopisma-i-serie-wydawnicze/fundamenta-mathematicae,
INT J DATA MIN BIOIN,international journal of data mining and bioinformatics,2,international journal of data mining and bioinformatics,international journal of data mining and bioinformatic,,http://www.inderscience.com/jhome.php?jcode=ijdmb#edboard,2,http://www.inderscience.com/jhome.php?jcode=ijdmb,,
ASYMPTOTIC ANAL,asymptotic analysis,3,asymptotic analysis,,,http://www.iospress.nl/journal/asymptotic-analysis/,1,http://www.iospress.nl/journal/asymptotic-analysis/,http://www.scijournal.org/impact-factor-of-ASYMPTOTIC-ANAL.shtml,
FUND INFORM,fundamenta informaticae,3,fundamenta informaticae,,,http://www.iospress.nl/journal/fundamenta-informaticae/,1,http://www.iospress.nl/journal/fundamenta-informaticae/,,
INDIANA U MATH J,indiana university mathematics journal,3,indiana university mathematics journal,,,http://www.iumj.indiana.edu/Editorial/editorialb.php,2,http://www.iumj.indiana.edu/Editorial/editorialb.php,http://www.iumj.indiana.edu/,
P JPN ACAD A-MATH,"proceedings of the japan academy, series a, mathematical sciences",3,"proceedings of the japan academy, series a, mathematical sciences",,,http://www.japan-acad.go.jp/en/publishing/pja_a/about.html,2,http://www.japan-acad.go.jp/en/publishing/pja_a.html,http://www.japan-acad.go.jp/en/publishing/pja_a/about.html,
J BIOMED SEMANT,journal of biomedical semantics,3,journal of biomedical semantics,,,http://www.jbiomedsem.com/about/edboard,2,http://www.jbiomedsem.com/about/edboard,http://www.springer.com/mathematics/computational+science+&+engineering/journal/13326,
J KOREAN MATH SOC,journal of the korean mathematical society,2,journal of the korean mathematical society,journal of the korean mathematical society impact factor,,http://www.jksmeb.org/journal.do?introMenuId=0102&journalSeq=J000051&method=journalintro,1,http://www.jksmeb.org/journal.do?introMenuId=0102&journalSeq=J000051&method=journalintro,http://www.bioxbio.com/if/html/J-KOREAN-MATH-SOC.html,
J INEQUAL APPL,journal of inequalities and applications,3,journal of inequalities and applications,,,http://www.journalofinequalitiesandapplications.com/about/edboard,2,http://www.journalofinequalitiesandapplications.com/about/edboard,http://mia.ele-math.com/editorial,
ADV APPL MATH,advances in applied mathematics,3,advances in applied mathematics,,,http://www.journals.elsevier.com/advances-in-applied-mathematics/editorial-board/,3,http://www.journals.elsevier.com/advances-in-applied-mathematics/editorial-board/,,
ADV MATH,advances in mathematics,3,advances in mathematics,,,http://www.journals.elsevier.com/advances-in-mathematics/editorial-board/,3,http://www.journals.elsevier.com/advances-in-mathematics/editorial-board/,,
ANN I H POINCARE-AN,annales de l'institut henri poincaré (c) analyse non linéaire,2,annales de l'institut henri poincarÃ© (c) analyse non linÃ©aire,annales de l'institut henri poincarÃ©-analyse,,http://www.journals.elsevier.com/annales-de-linstitut-henri-poincare-c-analyse-non-lineaire/,2,http://www.journals.elsevier.com/annales-de-linstitut-henri-poincare-c-analyse-non-lineaire/,http://www.journals.elsevier.com/annales-de-linstitut-henri-poincare-c-analyse-non-lineaire/editorial-board/,
ANN PURE APPL LOGIC,annals of pure and applied logic,2,annals of pure and applied logic,the annals of pure and applied logic,,http://www.journals.elsevier.com/annals-of-pure-and-applied-logic/editorial-board/,3,http://www.journals.elsevier.com/annals-of-pure-and-applied-logic/editorial-board/,,
APPL COMPUT HARMON A,applied and computational harmonic analysis,3,applied and computational harmonic analysis,,,http://www.journals.elsevier.com/applied-and-computational-harmonic-analysis/editorial-board/,2,http://www.journals.elsevier.com/applied-and-computational-harmonic-analysis/editorial-board/,http://www.elsevier.com/editors/editorial-boards,
APPL MATH MODEL,applied mathematical modelling,3,applied mathematical modelling,,,http://www.journals.elsevier.com/applied-mathematical-modelling/editorial-board/,3,http://www.journals.elsevier.com/applied-mathematical-modelling/editorial-board/,,
APPL MATH COMPUT,applied mathematics and computation,3,applied mathematics and computation,,,http://www.journals.elsevier.com/applied-mathematics-and-computation/editorial-board/,2,http://www.journals.elsevier.com/applied-mathematics-and-computation/editorial-board/,http://www.journals.elsevier.com/applied-mathematics-and-computation/,
APPL MATH LETT,applied mathematics letters,3,applied mathematics letters,,,http://www.journals.elsevier.com/applied-mathematics-letters/editorial-board/,3,http://www.journals.elsevier.com/applied-mathematics-letters/editorial-board/,,
APPL NUMER MATH,applied numerical mathematics,3,applied numerical mathematics,,,http://www.journals.elsevier.com/applied-numerical-mathematics/editorial-board/,3,http://www.journals.elsevier.com/applied-numerical-mathematics/editorial-board/,,
BIOSYSTEMS,biosystems,3,biosystems,,,http://www.journals.elsevier.com/biosystems/editorial-board/,2,http://www.journals.elsevier.com/biosystems/editorial-board/,http://www.journals.elsevier.com/biosystems/,
B SCI MATH,bulletin des sciences mathématiques,2,bulletin des sciences mathÃ©matiques,bulletin of mathematical sciences,,http://www.journals.elsevier.com/bulletin-des-sciences-mathematiques/,2,http://www.journals.elsevier.com/bulletin-des-sciences-mathematiques/,http://www.springer.com/mathematics/journal/13373?detailsPage=editorialBoard,
CHAOS SOLITON FRACT,"chaos, solitons & fractals",2,"chaos, solitons & fractals","chaos, solitions & fractals",,http://www.journals.elsevier.com/chaos-solitons-and-fractals/editorial-board/,2,http://www.journals.elsevier.com/chaos-solitons-and-fractals/editorial-board/,http://ees.elsevier.com/chaos/default.asp,
CHEMOMETR INTELL LAB,chemometrics and intelligent laboratory systems,3,chemometrics and intelligent laboratory systems,,,http://www.journals.elsevier.com/chemometrics-and-intelligent-laboratory-systems/editorial-board/,2,http://www.journals.elsevier.com/chemometrics-and-intelligent-laboratory-systems/editorial-board/,http://www.journals.elsevier.com/chemometrics-and-intelligent-laboratory-systems/,
COMMUN NONLINEAR SCI,communications in nonlinear science and numerical simulation,3,communications in nonlinear science and numerical simulation,,,http://www.journals.elsevier.com/communications-in-nonlinear-science-and-numerical-simulation/editorial-board/,2,http://www.journals.elsevier.com/communications-in-nonlinear-science-and-numerical-simulation/editorial-board/,http://www.journals.elsevier.com/communications-in-nonlinear-science-and-numerical-simulation/,
CR MATH,comptes rendus mathematique,3,comptes rendus mathematique,,,http://www.journals.elsevier.com/comptes-rendus-mathematique/editorial-board/,1,http://www.journals.elsevier.com/comptes-rendus-mathematique/,http://www.journals.elsevier.com/comptes-rendus-mathematique/editorial-board/,
COMP GEOM-THEOR APPL,computational geometry theory and applications,3,computational geometry theory and applications,,,http://www.journals.elsevier.com/computational-geometry/editorial-board/,2,http://www.journals.elsevier.com/computational-geometry/editorial-board/,http://www.journals.elsevier.com/computational-geometry/,
COMPUT AIDED GEOM D,computer aided geometric design,3,computer aided geometric design,,,http://www.journals.elsevier.com/computer-aided-geometric-design/editorial-board/,3,http://www.journals.elsevier.com/computer-aided-geometric-design/editorial-board/,,
COMPUT METHOD APPL M,computer methods in applied mechanics and engineering,3,computer methods in applied mechanics and engineering,,,http://www.journals.elsevier.com/computer-methods-in-applied-mechanics-and-engineering/editorial-board/,3,http://www.journals.elsevier.com/computer-methods-in-applied-mechanics-and-engineering/editorial-board/,,
COMPUT MATH APPL,computers & mathematics with applications,3,computers & mathematics with applications,,,http://www.journals.elsevier.com/computers-and-mathematics-with-applications/editorial-board/,2,http://www.journals.elsevier.com/computers-and-mathematics-with-applications/editorial-board/,http://www.sciencedirect.com/science/article/pii/S0898122115006148/pdfft?md5=abf670339c53984386249a4e19fa511c&pid=1-s2.0-S0898122115006148-main.pdf,
COMPUT BIOL MED,computers in biology and medicine,3,computers in biology and medicine,,,http://www.journals.elsevier.com/computers-in-biology-and-medicine/editorial-board/,2,http://www.journals.elsevier.com/computers-in-biology-and-medicine/editorial-board/,http://www.computersinbiologyandmedicine.com/content/edboard,
DIFFER GEOM APPL,differential geometry and its applications,3,differential geometry and its applications,,,http://www.journals.elsevier.com/differential-geometry-and-its-applications/editorial-board/,3,http://www.journals.elsevier.com/differential-geometry-and-its-applications/editorial-board/,,
DISCRETE APPL MATH,discrete applied mathematics,3,discrete applied mathematics,,,http://www.journals.elsevier.com/discrete-applied-mathematics/editorial-board/,2,http://www.journals.elsevier.com/discrete-applied-mathematics/editorial-board/,http://www.journals.elsevier.com/discrete-applied-mathematics/,
DISCRETE MATH,discrete mathematics,3,discrete mathematics,,,http://www.journals.elsevier.com/discrete-mathematics/editorial-board/,3,http://www.journals.elsevier.com/discrete-mathematics/editorial-board/,,
DISCRETE OPTIM,discrete optimization,2,discrete optimization,discrete design optimization of small open type drytransformers,,http://www.journals.elsevier.com/discrete-optimization/editorial-board/,2,http://www.journals.elsevier.com/discrete-optimization/editorial-board/,http://www.researchgate.net/publication/281406359_discrete_optim_tei_published,
ENG ANAL BOUND ELEM,engineering analysis with boundary elements,3,engineering analysis with boundary elements,,,http://www.journals.elsevier.com/engineering-analysis-with-boundary-elements/editorial-board/,3,http://www.journals.elsevier.com/engineering-analysis-with-boundary-elements/editorial-board/,,
EUR J COMBIN,european journal of combinatorics,3,european journal of combinatorics,,,http://www.journals.elsevier.com/european-journal-of-combinatorics/editorial-board/,2,http://www.journals.elsevier.com/european-journal-of-combinatorics/editorial-board/,http://www.journals.elsevier.com/european-journal-of-combinatorics/,
EXPO MATH,expositiones mathematicae,3,expositiones mathematicae,,,http://www.journals.elsevier.com/expositiones-mathematicae/editorial-board/,2,http://www.journals.elsevier.com/expositiones-mathematicae/editorial-board/,,
FINITE ELEM ANAL DES,finite elements in analysis and design,3,finite elements in analysis and design,,,http://www.journals.elsevier.com/finite-elements-in-analysis-and-design/editorial-board/,2,http://www.journals.elsevier.com/finite-elements-in-analysis-and-design/editorial-board/,http://www.sciencedirect.com/science/journal/0168874X,
FINITE FIELDS TH APP,finite fields and their applications,3,finite fields and their applications,,,http://www.journals.elsevier.com/finite-fields-and-their-applications/editorial-board/,3,http://www.journals.elsevier.com/finite-fields-and-their-applications/editorial-board/,,
